id,name,age,salary,join_date,city
1,Vihaan,23.0,61048.0,2017-09-30,Mumbai
2,Arjun,28.0,113696.0,2023-04-22,Kolkata
3,Aditya,59.0,80302.0,2015-05-11,Delhi
4,Aditya,,55495.0,2020-08-31,Kolkata
5,Aarav,57.0,51062.0,2023-01-11,Hyderabad
6,Ira,48.0,53893.0,2020-01-14,Kolkata
7,Ishaan,22.0,45926.0,2022-10-30,Chennai
8,Ananya,39.0,,2017-05-31,Bangalore
9,Vihaan,27.0,74797.0,2016-02-01,Bangalore
10,Diya,60.0,59671.0,2024-01-19,Delhi
6,Ira,48.0,53893.0,2020-01-14,Kolkata
12,Ira,40.0,107397.0,2021-12-08,Bangalore
13,Myra,34.0,117349.0,2015-10-12,Delhi
14,Krishna,40.0,35458.0,2024-08-04,Mumbai
15,Vihaan,46.0,61434.0,2020-02-01,Hyderabad
16,Diya,32.0,73520.0,2018-12-26,
17,Ishaan,26.0,104840.0,2022-02-13,Mumbai
18,Ira,37.0,46417.0,2020-03-08,Chennai
19,Ishaan,57.0,53785.0,2022-09-05,Bangalore
20,Vivaan,36.0,29207.0,2024-01-11,Bangalore
6,Ira,48.0,53893.0,2020-01-14,Kolkata
22,Ananya,35.0,110909.0,2020-08-06,Chennai
23,Kavya,31.0,59718.0,2016-07-25,Mumbai
24,Ira,56.0,59438.0,2023-05-18,Kolkata
25,Aadhya,59.0,77350.0,2019-01-22,Mumbai
26,Arjun,105.0,89686.0,2016-01-08,Delhi
27,Vihaan,31.0,107240.0,2016-10-17,Hyderabad
28,Aadhya,60.0,33326.0,2019-04-26,Chennai
29,Sara,51.0,94352.0,2017-10-26,Kolkata
30,Aarav,29.0,114353.0,2024-12-03,Kolkata
31,Ishaan,43.0,1000000.0,2018-04-17,Chennai
32,Sai,51.0,25425.0,2023-02-05,Hyderabad
33,Ishaan,54.0,48416.0,2020-09-10,Delhi
34,Shaurya,54.0,104818.0,2017-03-25,Mumbai
35,Diya,32.0,95697.0,2023-09-25,Kolkata
36,Aarav,60.0,67487.0,2020-06-24,Delhi
37,Vihaan,45.0,65306.0,2017-09-07,Delhi
38,Krishna,58.0,35322.0,2015-12-17,Hyderabad
39,Meera,26.0,94822.0,2023-08-03,Mumbai
40,Arjun,52.0,97063.0,2016-11-07,Bangalore
41,Riya,60.0,80461.0,2017-05-17,Kolkata
42,Reyansh,41.0,77296.0,2022-07-14,Hyderabad
43,Diya,50.0,92839.0,2020-01-24,Delhi
44,Krishna,36.0,33392.0,2018-10-16,Delhi
45,Myra,57.0,55161.0,2021-08-07,Mumbai
46,Aarav,26.0,117778.0,2022-01-28,Delhi
47,Krishna,26.0,29117.0,2024-08-22,Bangalore
48,Aditya,54.0,56195.0,2018-02-14,Hyderabad
49,Meera,35.0,95678.0,2016-06-25,Hyderabad
50,Myra,58.0,86953.0,2017-09-22,Chennai
